Trancebase,700,
BBC Radio 1,701,b. b. c. radio one
BBC Radio 2,702,b. b. c. radio two
BBC Radio 3,703,b. b. c. radio three
BBC Radio 4,704,b. b. c. radio four
BBC R5L,705,b. b. c. radio five live
BBC R5SX,706,b. b. c. radio five sports extra
BBC 6 Music,707,b. b. c. six music
BBC R1X,708,b. b. c. radio one extra
KISS FRESH,709,kiss fresh
KISS,710,kiss
KISSTORY,711,kisstory
Magic,712,magic
heat,713,
Kerrang!,714,kerrang
Smooth Radio,715,
talkSPORT,716,talk sport
Capital,717,
Absolute Radio,718,
Heart,719,
Classic FM,720,classic f. m. 
BBC Sheffield,721,b. b. c. sheffield
Hits Radio,722,
